Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10975110,Kunduchi,Adequate,Chemchem,Yes,38.77,87.4,10.6,13.6,-0.3293385459235707,Africa
10975181,Kunduchi,Adequate,Chemchem,Yes,38.63,,10.5,,-0.3356878595532781,Africa
10974989,Kunduchi,Adequate,Chemchem,Yes,39.84,122.6,11.0,19.7,-0.2808116488965211,Africa
10975628,Kunduchi,Adequate,Chemchem,Yes,33.45,,10.2,,-0.5706124638524526,Africa
10975325,Kunduchi,Adequate,Chemchem,Yes,48.53,152.4,11.3,16.0,0.11329931854746067,Africa
10975460,Kunduchi,Adequate,Chemchem,Yes,42.39,119.6,10.5,14.7,-0.16516343635542186,Africa
10975583,Kunduchi,Adequate,Chemchem,Yes,37.4,104.8,10.5,14.5,-0.3914711150142792,Africa
10975403,Kunduchi,Adequate,Chemchem,Yes,30.73,116.7,9.7,14.4,-0.6939705572296254,Africa
10977660,Kunduchi,Adequate,Chemchem,Yes,46.41,110.0,11.0,14.0,0.017152569297605273,Africa
10977717,Kunduchi,Adequate,Chemchem,Yes,46.96,147.3,11.2,15.6,0.042096301414313184,Africa
10979553,Kunduchi,Adequate,Chemchem,Yes,36.7,,10.2,,-0.4232176831628161,Africa
10975608,Kunduchi,Adequate,Chemchem,Yes,43.83,138.8,11.3,16.0,-0.09985621044985993,Africa
10975152,Kunduchi,Adequate,Chemchem,Yes,37.37,95.2,10.3,14.2,-0.39283168222064513,Africa
10975409,Kunduchi,Adequate,Chemchem,Yes,38.36,120.7,10.3,14.5,-0.34793296441057114,Africa
10974812,Kunduchi,Adequate,Chemchem,Yes,36.11,88.9,10.0,13.0,-0.4499755048880118,Africa
10974821,Kunduchi,Adequate,Chemchem,Yes,32.12,69.6,10.2,13.7,-0.6309309433346734,Africa
10975473,Kunduchi,Adequate,Chemchem,Yes,23.34,,8.8,,-1.0291236123977527,Africa
10975508,Kunduchi,Adequate,Chemchem,Yes,20.55,76.1,9.0,13.0,-1.155656362589779,Africa
